


ID,Opponent,W/L,Method,Competition,Weight,Stage,Year
23526,PJ Barch,W,Inside heel hook,BJJ Fanatics Grand Prix,77KG,4F,2020
23531,John Combs,W,Inside heel hook,BJJ Fanatics Grand Prix,77KG,SF,2020
23532,Ethan Crelinsten,W,EBI/OT,BJJ Fanatics Grand Prix,77KG,F,2020
23781,Gabriel Castro,W,Kneebar,Jitz King,84KG,R1,2020
23785,Benji Silva,W,Inside heel hook,Jitz King,84KG,4F,2020
23787,Valdir Araujo,W,Referee Decision,Jitz King,84KG,SF,2020
23788,Pedro Marinho,L,Pts: 2x0,Jitz King,84KG,F,2020
23875,Tye Ruotolo,L,Pts: 10x0,3CG Kumite V,81KG,4F,2020
24328,Kyle Meyers,W,Inside heel hook,Subversiv 4,ABS,R1,2020
24335,Arnaldo Maidana,W,Referee Decision,Subversiv 4,ABS,4F,2020
24341,Lucas Barbosa,L,Referee Decision,Subversiv 4,ABS,SF,2020
24343,G. Mione,W,Inside heel hook,Subversiv 4,ABS,3RD,2020
24485,Felipe Cesar,L,Pts: 2x0,No Gi Pan Am.,79KG,R1,2020
25165,Pedro Rocha,L,Referee Decision,F2W 164,85KG,SPF,2021
25405,Johnny Tama,W,Referee Decision,WNO 7,77KG,SPF,2021
25771,Gabriel Almeida,L,Referee Decision,F2W 169,83KG,SPF,2021
25961,Hugo Marques,L,Referee Decision,F2W 171,77KG,SPF,2021
25988,Gabriel Almeida,W,Referee Decision,SUBVERSIV 5,81KG,4F,2021
26134,Rodrigo Gortari,L,DQ,NoGi Pan Am.,79KG,R1,2021
26217,Rodrigo Gortari,W,Pts: 0x0, Adv,NoGi Pan Am.,ABS,R1,2021
26226,Lucas Barbosa,L,Pts: 11x0,NoGi Pan Am.,ABS,8F,2021
26309,Johnatha Alves,W,Referee Decision,WNO 9,77KG,SPF,2021
26342,Jaime Canuto,W,Referee Decision,F2W 172,77KG,SPF,2021
26620,Mica Galvao,L,Referee Decision,WNO 10,83KG,SPF,2021
26829,Gialysson Freitas,L,Referee Decision,F2W 175,77KG,SPF,2021
27773,Oliver Gotze,W,Americana,ADCC EU Trials,77KG,R1,2021
27777,Gyula Szabo,W,Referee Decision,ADCC EU Trials,77KG,R2,2021
27786,T. Barry,W,Pts: 0x0, Pen,ADCC EU Trials,77KG,8F,2021
27790,Marcus Phelan,W,Referee Decision,ADCC EU Trials,77KG,4F,2021
27794,M. Szczecinski,W,Pts: 0x0, Pen,ADCC EU Trials,77KG,SF,2021
27797,M. Dzharbaev,W,Pts: 2x2, Pen,ADCC EU Trials,77KG,F,2021
28284,Tyler Scalisi,W,Outside heel hook,NoGi Worlds,79KG,R2,2021
28294,PJ Barch,L,Referee Decision,NoGi Worlds,79KG,8F,2021
28462,Levi Jones,L,Referee Decision,WNO 10,77KG,SPF,2021
28727,Adrian Nez,W,Points,3CG Underdogs,84KG,R1,2021
28731,Hunter Newton,W,Straight ankle lock,3CG Underdogs,84KG,4F,2021
28733,Jeferson Guaresi,L,Referee Decision,3CG Underdogs,84KG,SF,2021
29328,Dante Leon,L,Referee Decision,GrappleFest,80KG,SPF,2021
29802,Nick Domgjoni,W,Outside heel hook,Emerald City,ABS,R1,2021
29806,Jay Rodrigues,W,Inside heel hook,Emerald City,ABS,4F,2021
29810,Alan Sanchez,W,Inside heel hook,Emerald City,ABS,SF,2021
29811,Nick Ronan,W,EBI/OT,Emerald City,ABS,F,2021
30930,Mikey Gonzalez,W,Inside heel hook,EBI 19,77KG,R1,2022
30938,David Garmo,W,Straight ankle lock,EBI 19,77KG,4F,2022
30942,Nick Ronan,W,EBI/OT,EBI 19,77KG,SF,2022
30944,Alan Sanchez,L,EBI/OT,EBI 19,77KG,F,2022
31226,Andy Varela,L,Referee Decision,F2W198,N/A,SPF,2022
33149,Ryan Aiken,L,Referee Decision,SUBVERSIV 7,83KG,4F,2022
33537,Kyle Boehm,D,---,UFC Inv. 2,ABS,RR,2022
33550,Jay Rodriguez,W,Straight ankle lock,UFC Inv. 2,ABS,RR,2022
33551,Bo Nickal,D,---,UFC Inv. 2,ABS,RR,2022
35045,Mica Galvao,L,Pts: 5x0,ADCC,77KG,R1,2022
35526,Anthony Robinson,W,Pts: 5x1,Skilled Violence,85KG,SPF,2022
35595,Francisco Lo,L,Armlock,NoGi Pan,85KG,8F,2022
36032,M. Szczecinski,W,Referee Decision,Polaris 22,86KG,4F,2022
36033,Jed Hue,L,Pts: 1x0,Polaris 22,86KG,SF,2022
36904,Sebastian Rodriguez,L,Pts: 0x0 Adv,NoGi Worlds,85KG,8F,2022
36984,Richie Martinez,W,Outside heel hook,UFC FP Inv.,ABS,4F,2022
36986,Luke Griffith,L,RNC,UFC FP Inv.,ABS,SF,2022
36991,Camron Couch,W,Inside heel hook,Black Widow Inv.,85KG,SPF,2022
37434,Ben Eddy,W,Outside heel hook,F2W 220,N/A,SPF,2023
37719,Shawn Melanson,W,Tarikoplata,Enigma,N/A,SPF,2023
37863,Jonnatas Gracie,L,Referee Decision,WNO,77KG,SPF,2023
38390,Bobby Malof,W,Points,Twisted Church,88KG,SPF,2023
40219,Andy Varela,W,Pts: 0x0, Pen,Enigma TV,77KG,SPF,2023
41473,Chris Wojcik,W,Points,Twisted Church,NA,SPF,2023
42151,Sebastian Rodriguez,W,Referee Decision,WNO 19,84KG,SPF,2023
42650,Victor Silverio,W,Referee Decision,EUG JJB,82KG,4F,2023
42652,Igor Feliz,W,Referee Decision,EUG JJB,82KG,SF,2023
42654,Andy Varela,L,N/A,EUG JJB,82KG,F,2023
42739,Mathias Midtun,W,Inside heel hook,ADCC EU Trials,77KG,R1,2023
42740,Tom Maenurm,W,Z lock,ADCC EU Trials,77KG,16F,2023
42747,Arturo Salas,W,Inside heel hook,ADCC EU Trials,77KG,8F,2023
42757,Marcus Phelan,W,Inside heel hook,ADCC EU Trials,77KG,4F,2023
42758,Thomas Barry,W,Referee Decision,ADCC EU Trials,77KG,SF,2023
42761,Jozef Chen,L,Pts: 3x0,ADCC EU Trials,77KG,F,2023
43154,Rene Sousa,W,Toe hold,Stout Fights,NA,SPF,2023
43418,Zach Cothren,W,Inside heel hook,NoGi Pan,79KG,8F,2023
43423,Eduardo Avelar,W,Inside heel hook,NoGi Pan,79KG,4F,2023
43424,Matheus Galvao,W,RNC,NoGi Pan,79KG,SF,2023
43426,Kieran Kichuk,W,Inside heel hook,NoGi Pan,79KG,F,2023
43695,Josh Squires,W,Inside heel hook,ADCC ECTrials,77KG,R1,2023
43714,Christopher Ong,W,Inside heel hook,ADCC ECTrials,77KG,R2,2023
43727,Josh Bacallao,W,Inside heel hook,ADCC ECTrials,77KG,R4,2023
43734,Michael Saenz,W,Inside heel hook,ADCC ECTrials,77KG,8F,2023
43742,Max Hanson,W,Pts: 2x0,ADCC ECTrials,77KG,4F,2023
43743,Elijah Dorsey,L,Pts: 3x0,ADCC ECTrials,77KG,SF,2023
43746,Kieran Kichuk,W,Pts: 2x0,ADCC ECTrials,77KG,3RD,2023
44576,Tommy Langaker,L,Referee Decision,Polaris 26,77KG,SPF,2023
45343,Michael Esquivel,W,Kneebar,Main Character,83KG,R1,2023
45349,Felipe Cesar,W,EBI/OT,Main Character,83KG,4F,2023
45352,Ryan Aitken,L,EBI/OT,Main Character,83KG,SF,2023
45744,Johnatha Alves,L,Pts: 6x2,NoGi World,79KG,R1,2023
45901,Henrique Camacho,W,Triangle,Sub Hunter Pro,NA,SPF,2023
46811,Tainan Dalpra,L,Referee Decision,WNO 22,84KG,SPF,2024
46907,Caleb Crump,W,Inside heel hook,Enigma Inv,84KG,R1,2024
46916,David Garmo,W,Pts: 3x0,Enigma Inv,84KG,4F,2024
46917,Davis Asare,W,Points,Enigma Inv,84KG,SF,2024
46919,Max Hanson,L,Pts: 2x0,Enigma Inv,84KG,F,2024
